Id,IsDeleted,AccountId,IsPrivate,Name,Description,StageName,Amount,Probability,ExpectedRevenue,TotalOpportunityQuantity,CloseDate,Type,NextStep,LeadSource,IsClosed,IsWon,ForecastCategory,ForecastCategoryName,CampaignId,HasOpportunityLineItem,Pricebook2Id,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,FiscalQuarter,FiscalYear,Fiscal,LastViewedDate,LastReferencedDate,HasOpenActivity,HasOverdueTask
0067200000FpxF8AAJ,,0017200000biNYhAAM,,新規案件 - 日本マクトロン株式会社,,Prospecting,71052,10,7105.200000000001,,2022-12-30,,,,,,Pipeline,Pipeline,,,,00572000008d2X9AAI,2025-04-17T02:07:30.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,,4,2022,2022 4,2025-04-17T02:20:56.000+0000,2025-04-17T02:20:56.000+0000,,
0067200000FpxF9AAJ,,0017200000biNYiAAM,,見込案件 - 株式会社マリモト,,Prospecting,40674,10,4067.4,,2022-09-21,,,,,,Pipeline,Pipeline,,,,00572000008d2X9AAI,2025-04-17T02:07:30.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,,3,2022,2022 3,2025-04-17T02:20:56.000+0000,2025-04-17T02:20:56.000+0000,,
0067200000FpxFAAAZ,,0017200000biNYiAAM,,商談開拓 - 株式会社マリモト,,Prospecting,33549,10,3354.9,,2023-08-22,,,,,,Pipeline,Pipeline,,,,00572000008d2X9AAI,2025-04-17T02:07:30.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,,3,2023,2023 3,2025-04-17T02:20:56.000+0000,2025-04-17T02:20:56.000+0000,,
0067200000FpxFBAAZ,,0017200000biNYjAAM,,新規商談 - 株式会社富士野,,Prospecting,64556,10,6455.6,,2024-10-06,,,,,,Pipeline,Pipeline,,,,00572000008d2X9AAI,2025-04-17T02:07:30.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,,4,2024,2024 4,2025-04-17T02:20:56.000+0000,2025-04-17T02:20:56.000+0000,,
0067200000FpxFCAAZ,,0017200000biNYjAAM,,新規商談 - 株式会社富士野,,Prospecting,60262,10,6026.200000000001,,2023-06-29,,,,,,Pipeline,Pipeline,,,,00572000008d2X9AAI,2025-04-17T02:07:30.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,,2,2023,2023 2,2025-04-17T02:20:56.000+0000,2025-04-17T02:20:56.000+0000,,
0067200000FpxFDAAZ,,0017200000biNYkAAM,,新規商談 - 東野幸商事株式会社,,Prospecting,25109,10,2510.9,,2024-05-25,,,,,,Pipeline,Pipeline,,,,00572000008d2X9AAI,2025-04-17T02:07:30.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,,2,2024,2024 2,2025-04-17T02:20:56.000+0000,2025-04-17T02:20:56.000+0000,,
0067200000FpxFEAAZ,,0017200000biNYlAAM,,商談開拓 - ムーン建材株式会社,,Prospecting,65920,10,6592,,2020-07-24,,,,,,Pipeline,Pipeline,,,,00572000008d2X9AAI,2025-04-17T02:07:30.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,,3,2020,2020 3,2025-04-17T02:20:56.000+0000,2025-04-17T02:20:56.000+0000,,
0067200000FpxFFAAZ,,0017200000biNYnAAM,,成約案件 - 北河産業株式会社,,Prospecting,96566,10,9656.6,,2021-03-09,,,,,,Pipeline,Pipeline,,,,00572000008d2X9AAI,2025-04-17T02:07:30.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,,1,2021,2021 1,2025-04-17T02:20:56.000+0000,2025-04-17T02:20:56.000+0000,,
0067200000FpxFGAAZ,,0017200000biNYoAAM,,契約案件 - オーエルエレクトロニクス株式会社,,Prospecting,63906,10,6390.6,,2021-10-16,,,,,,Pipeline,Pipeline,,,,00572000008d2X9AAI,2025-04-17T02:07:30.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,,4,2021,2021 4,2025-04-17T02:20:56.000+0000,2025-04-17T02:20:56.000+0000,,
0067200000FpxFHAAZ,,0017200000biNYpAAM,,契約見込 - 野田中産業株式会社,,Prospecting,47105,10,4710.5,,2020-01-26,,,,,,Pipeline,Pipeline,,,,00572000008d2X9AAI,2025-04-17T02:07:30.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,,1,2020,2020 1,2025-04-17T02:20:56.000+0000,2025-04-17T02:20:56.000+0000,,
0067200000FpxFIAAZ,,0017200000biNYqAAM,,顧客見込 - ツナシン電機株式会社,,Prospecting,76759,10,7675.900000000001,,2021-07-19,,,,,,Pipeline,Pipeline,,,,00572000008d2X9AAI,2025-04-17T02:07:30.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,,3,2021,2021 3,2025-04-17T02:20:56.000+0000,2025-04-17T02:20:56.000+0000,,
0067200000FpxFJAAZ,,0017200000biNYqAAM,,顧客見込 - ツナシン電機株式会社,,Prospecting,73896,10,7389.6,,2022-01-28,,,,,,Pipeline,Pipeline,,,,00572000008d2X9AAI,2025-04-17T02:07:30.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,,1,2022,2022 1,2025-04-17T02:20:56.000+0000,2025-04-17T02:20:56.000+0000,,
0067200000FpxFKAAZ,,0017200000biNYqAAM,,見込案件 - ツナシン電機株式会社,,Prospecting,104595,10,10459.5,,2022-03-23,,,,,,Pipeline,Pipeline,,,,00572000008d2X9AAI,2025-04-17T02:07:30.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,,1,2022,2022 1,2025-04-17T02:20:56.000+0000,2025-04-17T02:20:56.000+0000,,
0067200000FpxFLAAZ,,0017200000biNYsAAM,,顧客見込 - 株式会社山口エコー,,Prospecting,36604,10,3660.4,,2023-05-17,,,,,,Pipeline,Pipeline,,,,00572000008d2X9AAI,2025-04-17T02:07:30.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,,2,2023,2023 2,2025-04-17T02:20:56.000+0000,2025-04-17T02:20:56.000+0000,,
0067200000FpxFMAAZ,,0017200000biNYsAAM,,契約見込 - 株式会社山口エコー,,Prospecting,3161,10,316.1,,2021-10-23,,,,,,Pipeline,Pipeline,,,,00572000008d2X9AAI,2025-04-17T02:07:30.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,,4,2021,2021 4,2025-04-17T02:20:56.000+0000,2025-04-17T02:20:56.000+0000,,
0067200000FpxFNAAZ,,0017200000biNYsAAM,,契約案件 - 株式会社山口エコー,,Prospecting,86500,10,8650,,2023-06-12,,,,,,Pipeline,Pipeline,,,,00572000008d2X9AAI,2025-04-17T02:07:30.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,,2,2023,2023 2,2025-04-17T02:20:56.000+0000,2025-04-17T02:20:56.000+0000,,
0067200000FpxFOAAZ,,0017200000biNYsAAM,,商談開拓 - 株式会社山口エコー,,Prospecting,90391,10,9039.1,,2020-02-04,,,,,,Pipeline,Pipeline,,,,00572000008d2X9AAI,2025-04-17T02:07:30.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,,1,2020,2020 1,2025-04-17T02:20:56.000+0000,2025-04-17T02:20:56.000+0000,,
0067200000FpxFPAAZ,,0017200000biNYtAAM,,新規商談 - 株式会社川田,,Prospecting,62279,10,6227.900000000001,,2023-12-05,,,,,,Pipeline,Pipeline,,,,00572000008d2X9AAI,2025-04-17T02:07:30.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,,4,2023,2023 4,2025-04-17T02:20:56.000+0000,2025-04-17T02:20:56.000+0000,,
0067200000FpxFQAAZ,,0017200000biNYtAAM,,契約案件 - 株式会社川田,,Prospecting,88621,10,8862.1,,2023-11-12,,,,,,Pipeline,Pipeline,,,,00572000008d2X9AAI,2025-04-17T02:07:30.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,,4,2023,2023 4,2025-04-17T02:20:56.000+0000,2025-04-17T02:20:56.000+0000,,
0067200000FpxFRAAZ,,0017200000biNYtAAM,,新規商談 - 株式会社川田,,Prospecting,7795,10,779.5,,2022-07-31,,,,,,Pipeline,Pipeline,,,,00572000008d2X9AAI,2025-04-17T02:07:30.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,,3,2022,2022 3,2025-04-17T02:20:56.000+0000,2025-04-17T02:20:56.000+0000,,
0067200000FpxFSAAZ,,0017200000biNYtAAM,,契約案件 - 株式会社川田,,Prospecting,86226,10,8622.6,,2022-12-16,,,,,,Pipeline,Pipeline,,,,00572000008d2X9AAI,2025-04-17T02:07:30.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,,4,2022,2022 4,2025-04-17T02:20:56.000+0000,2025-04-17T02:20:56.000+0000,,
0067200000FpxFTAAZ,,0017200000biNYuAAM,,商談開拓 - 谷町産業株式会社,,Prospecting,113621,10,11362.1,,2023-04-21,,,,,,Pipeline,Pipeline,,,,00572000008d2X9AAI,2025-04-17T02:07:30.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,,2,2023,2023 2,2025-04-17T02:20:56.000+0000,2025-04-17T02:20:56.000+0000,,
0067200000FpxFUAAZ,,0017200000biNYvAAM,,契約案件 - 高橋秀不動産株式会社,,Prospecting,10343,10,1034.3,,2023-02-04,,,,,,Pipeline,Pipeline,,,,00572000008d2X9AAI,2025-04-17T02:07:30.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,,1,2023,2023 1,2025-04-17T02:20:56.000+0000,2025-04-17T02:20:56.000+0000,,
0067200000FpxFVAAZ,,0017200000biNYwAAM,,新規商談 - 立花田商事株式会社,,Prospecting,27493,10,2749.3,,2022-02-17,,,,,,Pipeline,Pipeline,,,,00572000008d2X9AAI,2025-04-17T02:07:30.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,,1,2022,2022 1,2025-04-17T02:20:56.000+0000,2025-04-17T02:20:56.000+0000,,
0067200000FpxFWAAZ,,0017200000biNYwAAM,,見込案件 - 立花田商事株式会社,,Prospecting,4780,10,478,,2024-10-05,,,,,,Pipeline,Pipeline,,,,00572000008d2X9AAI,2025-04-17T02:07:30.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,,4,2024,2024 4,2025-04-17T02:20:56.000+0000,2025-04-17T02:20:56.000+0000,,
0067200000FpxFXAAZ,,0017200000biNYxAAM,,新規商談 - 角商マシネックス株式会社,,Prospecting,47932,10,4793.2,,2021-09-23,,,,,,Pipeline,Pipeline,,,,00572000008d2X9AAI,2025-04-17T02:07:30.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,,3,2021,2021 3,2025-04-17T02:20:56.000+0000,2025-04-17T02:20:56.000+0000,,
0067200000FpxFYAAZ,,0017200000biNYxAAM,,成約案件 - 角商マシネックス株式会社,,Prospecting,83330,10,8333,,2022-04-24,,,,,,Pipeline,Pipeline,,,,00572000008d2X9AAI,2025-04-17T02:07:30.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,,2,2022,2022 2,2025-04-17T02:20:56.000+0000,2025-04-17T02:20:56.000+0000,,
0067200000FpxFZAAZ,,0017200000biNYxAAM,,成約案件 - 角商マシネックス株式会社,,Prospecting,18557,10,1855.7,,2023-03-01,,,,,,Pipeline,Pipeline,,,,00572000008d2X9AAI,2025-04-17T02:07:30.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,,1,2023,2023 1,2025-04-17T02:20:56.000+0000,2025-04-17T02:20:56.000+0000,,
0067200000FpxFaAAJ,,0017200000biNYxAAM,,新規商談 - 角商マシネックス株式会社,,Prospecting,46076,10,4607.6,,2022-10-11,,,,,,Pipeline,Pipeline,,,,00572000008d2X9AAI,2025-04-17T02:07:30.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,,4,2022,2022 4,2025-04-17T02:20:56.000+0000,2025-04-17T02:20:56.000+0000,,
0067200000FpxFbAAJ,,0017200000biNYzAAM,,契約案件 - 株式会社トーケイド,,Prospecting,16574,10,1657.4,,2022-09-17,,,,,,Pipeline,Pipeline,,,,00572000008d2X9AAI,2025-04-17T02:07:30.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,,3,2022,2022 3,2025-04-17T02:20:56.000+0000,2025-04-17T02:20:56.000+0000,,
0067200000FpxFcAAJ,,0017200000biNZ0AAM,,見込案件 - グランプリホテル高輪,,Prospecting,2252,10,225.20000000000002,,2024-06-29,,,,,,Pipeline,Pipeline,,,,00572000008d2X9AAI,2025-04-17T02:07:30.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,,2,2024,2024 2,2025-04-17T02:20:56.000+0000,2025-04-17T02:20:56.000+0000,,
0067200000FpxFdAAJ,,0017200000biNZ0AAM,,見込案件 - グランプリホテル高輪,,Prospecting,73899,10,7389.900000000001,,2024-01-27,,,,,,Pipeline,Pipeline,,,,00572000008d2X9AAI,2025-04-17T02:07:30.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,,1,2024,2024 1,2025-04-17T02:20:56.000+0000,2025-04-17T02:20:56.000+0000,,
0067200000FpxFeAAJ,,0017200000biNZ1AAM,,新規案件 - マキシマム株式会社,,Prospecting,28183,10,2818.3,,2023-06-17,,,,,,Pipeline,Pipeline,,,,00572000008d2X9AAI,2025-04-17T02:07:30.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,,2,2023,2023 2,2025-04-17T02:20:56.000+0000,2025-04-17T02:20:56.000+0000,,
0067200000FpxFfAAJ,,0017200000biNZ1AAM,,新規商談 - マキシマム株式会社,,Prospecting,152,10,15.200000000000001,,2020-04-09,,,,,,Pipeline,Pipeline,,,,00572000008d2X9AAI,2025-04-17T02:07:30.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,,2,2020,2020 2,2025-04-17T02:20:56.000+0000,2025-04-17T02:20:56.000+0000,,
0067200000FpxFgAAJ,,0017200000biNZ2AAM,,顧客見込 - 加藤安田金属株式会社,,Prospecting,89423,10,8942.300000000001,,2023-04-21,,,,,,Pipeline,Pipeline,,,,00572000008d2X9AAI,2025-04-17T02:07:30.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,,2,2023,2023 2,2025-04-17T02:20:56.000+0000,2025-04-17T02:20:56.000+0000,,
0067200000FpxFhAAJ,,0017200000biNZ2AAM,,新規商談 - 加藤安田金属株式会社,,Prospecting,76183,10,7618.3,,2024-05-15,,,,,,Pipeline,Pipeline,,,,00572000008d2X9AAI,2025-04-17T02:07:30.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,,2,2024,2024 2,2025-04-17T02:20:56.000+0000,2025-04-17T02:20:56.000+0000,,
0067200000FpxFiAAJ,,0017200000biNZ2AAM,,契約見込 - 加藤安田金属株式会社,,Prospecting,45580,10,4558,,2023-07-12,,,,,,Pipeline,Pipeline,,,,00572000008d2X9AAI,2025-04-17T02:07:30.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,,3,2023,2023 3,2025-04-17T02:20:56.000+0000,2025-04-17T02:20:56.000+0000,,
0067200000FpxFjAAJ,,0017200000biNZ2AAM,,契約見込 - 加藤安田金属株式会社,,Prospecting,78494,10,7849.400000000001,,2024-11-16,,,,,,Pipeline,Pipeline,,,,00572000008d2X9AAI,2025-04-17T02:07:30.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,,4,2024,2024 4,2025-04-17T02:20:56.000+0000,2025-04-17T02:20:56.000+0000,,
0067200000FpxFkAAJ,,0017200000biNZ3AAM,,成約案件 - 平成エーアイシー株式会社,,Prospecting,15694,10,1569.4,,2022-10-13,,,,,,Pipeline,Pipeline,,,,00572000008d2X9AAI,2025-04-17T02:07:30.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,,4,2022,2022 4,2025-04-17T02:20:56.000+0000,2025-04-17T02:20:56.000+0000,,
0067200000FpxFlAAJ,,0017200000biNZ3AAM,,契約案件 - 平成エーアイシー株式会社,,Prospecting,69526,10,6952.6,,2023-10-11,,,,,,Pipeline,Pipeline,,,,00572000008d2X9AAI,2025-04-17T02:07:30.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,,4,2023,2023 4,2025-04-17T02:20:56.000+0000,2025-04-17T02:20:56.000+0000,,
0067200000FpxFmAAJ,,0017200000biNZ4AAM,,顧客見込 - 株式会社村井精工,,Prospecting,3337,10,333.70000000000005,,2020-04-16,,,,,,Pipeline,Pipeline,,,,00572000008d2X9AAI,2025-04-17T02:07:30.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,,2,2020,2020 2,2025-04-17T02:20:56.000+0000,2025-04-17T02:20:56.000+0000,,
0067200000FpxFnAAJ,,0017200000biNZ4AAM,,商談開拓 - 株式会社村井精工,,Prospecting,21223,10,2122.3,,2025-06-04,,,,,,Pipeline,Pipeline,,,,00572000008d2X9AAI,2025-04-17T02:07:30.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,,2,2025,2025 2,2025-04-17T02:20:56.000+0000,2025-04-17T02:20:56.000+0000,,
0067200000FpxFoAAJ,,0017200000biNZ4AAM,,成約案件 - 株式会社村井精工,,Prospecting,24704,10,2470.4,,2023-05-06,,,,,,Pipeline,Pipeline,,,,00572000008d2X9AAI,2025-04-17T02:07:30.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,,2,2023,2023 2,2025-04-17T02:20:56.000+0000,2025-04-17T02:20:56.000+0000,,
0067200000FpxFpAAJ,,0017200000biNZ4AAM,,契約見込 - 株式会社村井精工,,Prospecting,10982,10,1098.2,,2023-03-19,,,,,,Pipeline,Pipeline,,,,00572000008d2X9AAI,2025-04-17T02:07:30.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,,1,2023,2023 1,2025-04-17T02:20:56.000+0000,2025-04-17T02:20:56.000+0000,,
0067200000FpxFqAAJ,,0017200000biNZ5AAM,,顧客見込 - 野原テクノサーブ株式会社,,Prospecting,48011,10,4801.1,,2022-06-11,,,,,,Pipeline,Pipeline,,,,00572000008d2X9AAI,2025-04-17T02:07:30.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,,2,2022,2022 2,2025-04-17T02:20:56.000+0000,2025-04-17T02:20:56.000+0000,,
0067200000FpxFrAAJ,,0017200000biNZ5AAM,,顧客見込 - 野原テクノサーブ株式会社,,Prospecting,40717,10,4071.7000000000003,,2024-04-23,,,,,,Pipeline,Pipeline,,,,00572000008d2X9AAI,2025-04-17T02:07:30.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,,2,2024,2024 2,2025-04-17T02:20:56.000+0000,2025-04-17T02:20:56.000+0000,,
0067200000FpxFsAAJ,,0017200000biNZ5AAM,,契約見込 - 野原テクノサーブ株式会社,,Prospecting,35426,10,3542.6000000000004,,2021-12-23,,,,,,Pipeline,Pipeline,,,,00572000008d2X9AAI,2025-04-17T02:07:30.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,,4,2021,2021 4,2025-04-17T02:20:56.000+0000,2025-04-17T02:20:56.000+0000,,
0067200000FpxFtAAJ,,0017200000biNZ5AAM,,商談開拓 - 野原テクノサーブ株式会社,,Prospecting,69986,10,6998.6,,2023-11-27,,,,,,Pipeline,Pipeline,,,,00572000008d2X9AAI,2025-04-17T02:07:30.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,,4,2023,2023 4,2025-04-17T02:20:56.000+0000,2025-04-17T02:20:56.000+0000,,
0067200000FpxFuAAJ,,0017200000biNZ6AAM,,顧客見込 - 大日本リサイクル株式会社,,Prospecting,2660,10,266,,2022-07-27,,,,,,Pipeline,Pipeline,,,,00572000008d2X9AAI,2025-04-17T02:07:30.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,,3,2022,2022 3,2025-04-17T02:20:56.000+0000,2025-04-17T02:20:56.000+0000,,
0067200000FpxFvAAJ,,0017200000biNZ6AAM,,顧客見込 - 大日本リサイクル株式会社,,Prospecting,22034,10,2203.4,,2020-10-19,,,,,,Pipeline,Pipeline,,,,00572000008d2X9AAI,2025-04-17T02:07:30.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,,4,2020,2020 4,2025-04-17T02:20:56.000+0000,2025-04-17T02:20:56.000+0000,,
0067200000FpxFwAAJ,,0017200000biNZ6AAM,,成約案件 - 大日本リサイクル株式会社,,Prospecting,2964,10,296.40000000000003,,2024-05-02,,,,,,Pipeline,Pipeline,,,,00572000008d2X9AAI,2025-04-17T02:07:30.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,00572000008d2X9AAI,2025-04-17T02:20:56.000+0000,,2,2024,2024 2,2025-04-17T02:20:56.000+0000,2025-04-17T02:20:56.000+0000,,
